set,index,k,QQ,xB,t,phi,F,errF,varF,ReH,ReE,ReHtilde,dvcs,F_true
4,18,5.75,1.986,0.379,-0.323,277.5,0.0402182,0.00399729,0.09939,2.08858,-0.73519,-0.268388,0.0205763,0.0417308
4,19,5.75,1.986,0.379,-0.323,292.5,0.0530077,0.00541739,0.1022,2.08858,-0.73519,-0.268388,0.0205763,0.0507286
4,20,5.75,1.986,0.379,-0.323,307.5,0.0626634,0.00602822,0.0962,2.08858,-0.73519,-0.268388,0.0205763,0.0634229
4,21,5.75,1.986,0.379,-0.323,322.5,0.0709648,0.00870099,0.12261,2.08858,-0.73519,-0.268388,0.0205763,0.0796831
4,22,5.75,1.986,0.379,-0.323,337.5,0.109851,0.0157889,0.14373,2.08858,-0.73519,-0.268388,0.0205763,0.0968246
4,23,5.75,1.986,0.379,-0.323,352.5,0.0888762,0.0155711,0.1752,2.08858,-0.73519,-0.268388,0.0205763,0.108604
5,0,5.75,1.999,0.381,-0.371,7.5,0.0963136,0.0193176,0.20057,2.0696,-0.755719,-0.228339,0.0184224,0.104004
5,1,5.75,1.999,0.381,-0.371,22.5,0.0657885,0.0103597,0.15747,2.0696,-0.755719,-0.228339,0.0184224,0.0898655
5,2,5.75,1.999,0.381,-0.371,37.5,0.0785085,0.0119066,0.15166,2.0696,-0.755719,-0.228339,0.0184224,0.0707571
5,3,5.75,1.999,0.381,-0.371,52.5,0.0583567,0.00808007,0.13846,2.0696,-0.755719,-0.228339,0.0184224,0.0541697
5,4,5.75,1.999,0.381,-0.371,67.5,0.0497145,0.00538359,0.10829,2.0696,-0.755719,-0.228339,0.0184224,0.0422535
5,5,5.75,1.999,0.381,-0.371,82.5,0.029777,0.00388114,0.13034,2.0696,-0.755719,-0.228339,0.0184224,0.0343825
5,6,5.75,1.999,0.381,-0.371,97.5,0.0258876,0.00297888,0.11507,2.0696,-0.755719,-0.228339,0.0184224,0.0293602
5,7,5.75,1.999,0.381,-0.371,112.5,0.0267939,0.0032276,0.12046,2.0696,-0.755719,-0.228339,0.0184224,0.0261971
5,8,5.75,1.999,0.381,-0.371,127.5,0.0263758,0.00354966,0.13458,2.0696,-0.755719,-0.228339,0.0184224,0.0242222
5,9,5.75,1.999,0.381,-0.371,142.5,0.0227855,0.00407586,0.17888,2.0696,-0.755719,-0.228339,0.0184224,0.0230147
5,10,5.75,1.999,0.381,-0.371,157.5,0.0275768,0.00661842,0.24,2.0696,-0.755719,-0.228339,0.0184224,0.0223235
